pk,category,sku,name,friendly_name,description,image,alt_text,bs_icon,weight,strength,brew_time,water_temp,price,stock_level,rating
11,10,mycx362457,mystic_chai_fusion,Mystic Chai Fusion,"<p>Embark on a journey of spice and warmth with our Mystic Chai Fusion. A harmonious blend of black tea, cinnamon, cardamom, ginger, and cloves, this exotic chai delights the senses with its rich aroma and bold flavor, transporting you to distant lands with each sip.</p>",mystic_chai_fusion.jpg,Mystic chai loose leaf tea in a wooden bowl on a wooden tabletop.,bi bi-cup-hot,75,3,3-4,100,8.99,,4.2
12,12,zear271126,zen_garden_green_tea,Zen Garden Green Tea,"<p>Experience tranquility with our Zen Garden Green Tea. Handpicked from the lush tea gardens, this delicate green tea offers a subtle yet refreshing taste, reminiscent of a peaceful stroll through a Japanese garden. Savor its gentle grassy notes and floral undertones for a serene tea-drinking experience.</p>",zen_garden_green_tea.jpg,Zen garden loose leaf tea served in a wooden bowl.,bi bi-cup-hot,100,2,2-3,85,7.99,,3.1
13,14,bexb328794,berry_blossom_herbal_infusion,Berry Blossom Herbal Infusion,"<p>Delight in the vibrant flavors of summer with our Berry Blossom Herbal Infusion. Bursting with the natural sweetness of ripe berries and hibiscus petals, this caffeine-free blend is a fruity indulgence perfect for any time of day. Enjoy it hot or iced for a refreshing and revitalizing treat.</p>",berry_blossom_herbal_infusion.jpg,"Pile of loose leaf tea, with  dried berries,  fruit and flowers, on a wooden table.",bi bi-cup-hot,75,5,5-6,90,6.99,,3.4
14,10,perm877691,peppermint_dream_rooibos,Peppermint Dream Rooibos,"<p>Drift into relaxation with our Peppermint Dream Rooibos. This soothing blend of South African rooibos and invigorating peppermint leaves offers a calming and refreshing experience. With its naturally sweet and minty flavor, it's the perfect choice for unwinding after a long day.</p>",peppermint_dream_rooibos.jpg,Pile of loose leaf tea on a wooden table.,bi bi-cup-hot,100,4,3-4,100,10.99,,4.3
15,10,gonx414863,golden_jasmine_oolong,Golden Jasmine Oolong,"<p>Elevate your tea experience with our Golden Jasmine Oolong. Handcrafted to perfection, this semi-fermented tea boasts delicate floral notes and a smooth, buttery finish. Scented with fresh jasmine blossoms, it captivates the senses with its exquisite aroma and refined taste, making it a tea connoisseur's favorite.</p>",golden_jasmine_oolong.jpg,Jasmine black tea in a white ceramic bowl on a wooden table.,bi bi-cup-hot,100,3,3-4,100,10.99,,4.6
16,10,suse917425,sunrise_serenade_breakfast_blend,Sunrise Serenade Breakfast Blend,"<p>Start your day on a high note with our Sunrise Serenade Breakfast Blend. A robust and invigorating mix of Assam and Ceylon black teas, this full-bodied blend offers a rich malty flavor and a brisk, awakening aroma. Whether enjoyed with milk and honey or simply black, it's the perfect brew to kick-start your morning routine.</p>",sunrise_serenade_breakfast_blend.jpg,Loose leaf black tea in a white ceramic bowl on a wicker table.,bi bi-cup-hot,100,5,3-4,100,10.99,,4.2
17,11,sirx481460,silver_needle_supreme,Silver Needle Supreme,"<p>Experience purity in every sip with our Silver Needle Supreme white tea. Handpicked from only the finest young tea buds, this rare and exquisite tea offers a delicate flavor profile with subtle floral notes and a hint of sweetness. Brewed to perfection, it delivers a serene and refreshing tea-drinking experience that's as precious as silver.</p>",silver_needle_supreme.jpg,Pile of silver needle loose tea on a granit table.,bi bi-cup-hot,100,1,1-2,70,9.99,,3.1
18,11,snla109763,snowflake_symphony_white_peony,Snowflake Symphony White Peony,"<p>Delight in the delicate harmony of flavors with our Snowflake Symphony White Peony tea. Crafted from the unopened buds and young leaves of the tea plant, this premium white tea boasts a mellow and smooth taste with hints of melon and honey. With its elegant aroma and lingering sweetness, it's a captivating blend that's sure to enchant your senses.</p>",white_symphony_snowflake_white_peony.jpg,Loose leaf black tea in a hand crafted ceramic bowl .,bi bi-cup-hot,100,1,1-2,70,8.99,,3.4
19,11,clxm759094,cloud_mist_dragonwell,Cloud Mist Dragonwell,"<p>Ascend to the peak of tea perfection with our Cloud Mist Dragonwell white tea. Grown in the misty mountains of China's Zhejiang province, this handcrafted tea offers a rare and refined taste experience. With its jade-green liquor and chestnut-like flavor, it's a testament to the artistry of traditional tea-making techniques. Savor its subtle sweetness and long-lasting finish with every sip.</p>",white_cloud_mist_dragonwell.jpg,Loose leaf white tea in a hand crafted wooden bowl .,bi bi-cup-hot,100,1,1-2,70,8.99,,3.1
20,11,whxp297261,white_peaches_and_cream,White Peaches and Cream,"<p>Indulge in the luscious flavors of summer with our White Peaches and Cream white tea. Infused with the essence of ripe peaches and creamy vanilla, this enchanting blend captures the essence of a sun-kissed orchard in every cup. Delicately balanced with the natural sweetness of Pai Mu Tan white tea, it's a decadent treat that's as refreshing as it is indulgent.</p>",white_peaches_and_cream.jpg,"Loose leaf tea served in a large wooden scoop, alongside brewed white tea in a white mug, accompanied by fresh peaches.",bi bi-cup-hot,100,1,1-2,70,7.99,,3.6
21,11,geex645949,gentle_breeze_jasmine_silver_needle,Gentle Breeze Jasmine Silver Needle,"<p>Immerse yourself in the intoxicating aroma of jasmine blossoms with our Gentle Breeze Jasmine Silver Needle white tea. Handpicked and scented with fresh jasmine flowers, this fragrant blend offers a delicate floral bouquet and a smooth, velvety texture. With its subtle sweetness and lingering jasmine aftertaste, it's a sensory delight that's perfect for moments of relaxation and reflection.</p>",gentle_breeze_jasmine_silver_needle.jpg,"Loose leaf jasmine tea in a large wooden scoop, with jasmine flower.",bi bi-cup-hot,100,1,1-2,75,8.99,,3.1
22,12,emld105546,emerald_meadows_sencha,Emerald Meadows Sencha,"<p>Take a stroll through lush green meadows with our Emerald Meadows Sencha green tea. Harvested from the nutrient-rich fields of Japan, this vibrant tea boasts a fresh and grassy flavor with a hint of sweetness. With its bright green liquor and invigorating aroma, it's the perfect brew to awaken your senses and rejuvenate your spirit.</p>",emerald_meadows_sencha.jpg,Loose leaf green tea in an oval wooden bowl on a grey wicker table.,bi bi-cup-hot,75,2,2-3,80,10.99,,3.2
23,12,drnw942889,dragonwell_delight_lung_ching,Dragonwell Delight Lung Ching,"<p>Embark on a journey to the legendary Dragonwell with our Dragonwell Delight Lung Ching green tea. Handcrafted by skilled artisans in the hills of Hangzhou, China, this renowned tea captivates the palate with its chestnut-like flavor and buttery-smooth texture. With its jade-green leaves and lingering sweetness, it's a tea fit for royalty.</p>",dragonwell_delight_lung_ching.jpg,Close-up of a pile of loose leaf tea on a cream background.,bi bi-cup-hot,75,2,2-3,80,7.99,,4.9
24,12,maax822739,matcha_magic_ceremony_grade,Matcha Magic Ceremony Grade,"<p>Experience the magic of matcha with our Matcha Magic Ceremony Grade green tea. Made from shade-grown tea leaves meticulously stone-ground into a fine powder, this ceremonial-grade matcha offers a rich and umami flavor with a vibrant green hue. With its smooth and creamy texture, it's the perfect choice for traditional tea ceremonies or moments of mindful reflection.</p>",matcha_magic_ceremony_grade.jpg,Green matcha powder in a ceramic bowl,bi bi-cup-hot,50,1,2-3,85,18.99,,3.5
25,12,mixm714217,minty_mojito_mojave,Minty Mojito Mojave,"<p>Refresh your senses with our Minty Mojito Mojave green tea. Blending the invigorating flavors of spearmint and lime with the crispness of green tea, this lively brew offers a burst of citrusy sweetness with a cooling minty finish. Whether enjoyed hot or iced, it's a tantalizing treat that's sure to lift your spirits and energize your day.</p>",minty_mojito_mojave.jpg,Loose mint tealeaves in a brown paper bag.,bi bi-cup-hot,100,2,2-3,85,8.99,,4.8
26,12,jane460274,jasmine_pearl_symphony,Jasmine Pearl Symphony,"<p>Immerse yourself in the enchanting aroma of jasmine with our Jasmine Pearl Symphony green tea. Hand-rolled into delicate pearls and scented with fresh jasmine blossoms, this fragrant blend captivates the senses with its floral bouquet and sweet, lingering finish. With its smooth and subtle flavor, it's a symphony of taste and aroma that's sure to delight tea enthusiasts everywhere.</p>",jasmine_pearl_symphony.jpg,"White ceramic bowl on a wooden table, containing jasmine tea leaves with flower buds.",bi bi-cup-hot,100,1,2-3,85,10.99,,4.3
27,10,roxb552951,royal_breakfast_reserve,Royal Breakfast Reserve,"<p>Start your day like royalty with our Royal Breakfast Reserve black tea. Handpicked from the finest tea estates, this robust blend of Assam and Ceylon teas offers a bold and invigorating flavor with a rich malty aroma. Whether enjoyed with a splash of milk or savored on its own, it's the perfect brew to awaken your senses and fuel your day.</p>",royal_breakfast_reserve.jpg,Close-up of a pile of loose leaf tea with dried flower petals and buds on a cream background.,bi bi-cup-hot,100,5,3-4,100,10.99,,3.1
28,10,eagr702870,earl_grey_enchantment,Earl Grey Enchantment,"<p>Indulge in the timeless elegance of our Earl Grey Enchantment black tea. Infused with the essence of bergamot oil, this classic blend captivates the palate with its citrusy aroma and subtle floral notes. With its bold flavor and smooth finish, it's a tea fit for connoisseurs and novices alike.</p>",earl_grey_enchantment.jpg,Close-up of loose leaf early grey tea with dried flower petals in a mottled ceramic bowl.,bi bi-cup-hot,100,4,3-4,100,7.99,,3.2
29,10,maax541036,masala_chai_masquerade,Masala Chai Masquerade,"<p>Spice up your day with our Masala Chai Masquerade black tea. Blending the rich flavors of Assam tea with a medley of exotic spices, including cardamom, cinnamon, and cloves, this aromatic brew offers a symphony of taste sensations with every sip. Whether enjoyed hot with milk and honey or as a spicy iced latte, it's a masquerade of flavor that's sure to delight your senses.</p>",masala_chai_masquerade.jpg,"Table showing the chai tea, two cups of brewed chai tea and a storage container.",bi bi-cup-hot,75,4,3-4,100,8.99,,3.2
30,10,cael614907,caramel_velvet_truffle,Caramel Velvet Truffle,"<p>Indulge your sweet tooth with our Caramel Velvet Truffle black tea. Infused with the rich flavors of caramel and cocoa, this decadent blend offers a luxurious and velvety-smooth taste experience. With its creamy texture and lingering sweetness, it's a guilt-free indulgence that's perfect for cozy nights in or afternoon tea parties.</p>",caramel_velvet_truffle.jpg,Hands holding a wooden bowl containing loose leaf caramel velvet truffle tea.,bi bi-cup-hot,100,3,3-4,100,8.99,,4.5
31,10,gonx625690,golden_assam_sunset,Golden Assam Sunset,"<p>Bask in the warm glow of the Golden Assam Sunset black tea. Harvested from the lush valleys of Assam, India, this bold and malty tea offers a rich and full-bodied flavor with a hint of sweetness. With its vibrant amber liquor and smooth finish, it's the perfect brew to unwind and watch the sun dip below the horizon.</p>",golden_assam_sunset.jpg,Close-up of a pile of loose leaf tea with dried flower petals and buds on a cream background.,bi bi-cup-hot,100,4,3-4,100,7.99,,4.3
32,16,seex534592,serene_sakura_porcelain_teacup,Serene Sakura Porcelain Teacup,"<p>Immerse yourself in tranquility with our Serene Sakura Porcelain Teacup. Adorned with delicate cherry blossom motifs, this elegant teacup exudes grace and sophistication. Crafted from fine porcelain, it offers a smooth and lightweight feel, perfect for savoring your favorite brew in style.</p>",serene_sakura_porcelain_teacup.jpg,"White porcelain teacup with cherry blossom design, on a wooden table.",bi bi-cup,,,,,7.99,,4.9
33,17,zear973964,zen_garden_stoneware_teacup_set,Zen Garden Stoneware Teacup Set,"<p>Find inner peace with our Zen Garden Stoneware Teacup Set. Handcrafted with care, each teacup features a unique glaze inspired by the serene beauty of Japanese gardens. Its earthy tones and textured surface create a tactile experience that enhances your tea-drinking ritual, making it a must-have for tea enthusiasts and mindful sippers alike.</p>",zen_garden_stoneware_teacup_set.jpg,"Two stoneware teacups, grey and brown, with abstract leaf design, shown on a bamboo tray on a wooden table.",bi bi-cup,,,,,18.99,,4.6
34,16,vige874661,vintage_rose_glass_tea_mug,Vintage Rose Glass Tea Mug,"<p>Add a touch of romance to your tea time with our Vintage Rose Glass Tea Mug. Crafted from heat-resistant borosilicate glass, this exquisite mug showcases intricate rose patterns that evoke a sense of nostalgia and charm. Its double-walled design keeps your tea hot while remaining cool to the touch, ensuring a delightful drinking experience from start to finish.</p>",vintage_rose_glass_tea_mug.jpg,"Glass mug with glass handle, with hand painted rose flower design. On a wooden table with green plant.",bi bi-cup,,,,,6.99,,3.1
35,16,aran950912,artisanal_bamboo_matcha_bowl,Artisanal Bamboo Matcha Bowl,"<p>Elevate your matcha ritual with our Artisanal Bamboo Matcha Bowl. Hand-carved from sustainable bamboo, this traditional bowl is designed to whisk matcha to perfection, creating a frothy and velvety-smooth texture. Its natural finish and rustic charm add an authentic touch to your tea ceremony, making it a cherished heirloom for generations to come.</p>",artisanal_bamboo_matcha_bowl.jpg,Bamboo drinking bowl on a wooden tabletop.,bi bi-cup,,,,,6.50,,3.9
36,16,mati113563,majestic_peacock_ceramic_tea_cup,Majestic Peacock Ceramic Tea Cup,"<p>Unleash your inner royalty with our Majestic Peacock Ceramic Tea Cup. Featuring a vibrant peacock motif and iridescent glaze, this regal cup commands attention and admiration. Its generous size and sturdy handle make it ideal for enjoying your favorite tea blends, while its exquisite craftsmanship adds a touch of opulence to your tea collection.</p>",majestic_peacock_ceramic_tea_cup.jpg,"Ceramic teacup with peackock design painted greem blue and yellow, on a dark wooden table with book and drinkers hand in the background.",bi bi-cup,,,,,9.99,,3.5
37,16,monx528253,modern_minimalist_glass_tea_infuser_mug,Modern Minimalist Glass Tea Infuser Mug,"<p>Embrace simplicity with our Modern Minimalist Glass Tea Infuser Mug. Sleek and contemporary, this stylish mug combines form and function with its minimalist design and built-in stainless steel infuser. Crafted from durable borosilicate glass, it offers a crystal-clear view of your tea as it steeps, allowing you to appreciate its color and clarity with every sip.</p>",modern_minimalist_glass_tea_infuser_mug.jpg,"Gladd myg containing brewed tea, with metal tea infuser. On banboo tray, alongside lemon wedges.",bi bi-cup,,,,,7.50,,3.9
